,$\mu$,$\lambda$,"$
u_1$","$
u_2$","$
u_3$",$k$,$M$
0,0.799,1.158,0.3600000000000012,-2.6600000000000006,-1.785,"[1.         1.00003702 1.00014828 1.00033432 1.00059607 1.00093484
 1.00134975 1.00184594 1.00242448 1.00308816 1.00384028 1.00468479
 1.00562628 1.00667017 1.00782574 1.00909649 1.01049345 1.01202778
 1.01371307 1.01556603]","[  0.           9.7237171   19.42429437  29.07852919  38.66308972
  48.15444641  57.52866783  66.76169346  75.82880557  84.70474682
  93.36352976 101.77826067 109.92094921 117.76223916 125.2713367
 132.41464536 139.15650619 145.45766156 151.27447033 156.55750802]"
1,0.824,1.107,-0.96,-2.54,-1.81,"[1.         1.00003638 1.00014575 1.00032864 1.00058601 1.00091922
 1.00132655 1.00181417 1.00238267 1.00303473 1.00377354 1.00460287
 1.00552964 1.00655554 1.00768837 1.00893556 1.01030596 1.01181026
 1.01345806 1.01526982]","[  0.          10.02816025  20.03363534  29.99368354  39.88544176
  49.68586328  59.37147071  68.91877277  78.30357726  87.50120757
  96.48630288 105.23265058 113.71202404 121.8993577  129.76093819
 137.2660087  144.38011751 151.06563592 157.28042672 162.97838583]"
